2,1,2.0,3.0,2.0,12.0,1450000.0,1.0,74,14.0,2,2017
0,4,10.0,25.0,5.188000000000001,20.752000000000002,5800000.0,1.0,11,25.94,4,2027
0,0,3.0,23.0,5.6,13.9,6300000.0,1.0,75,34.9,0,2025
2,5,11.0,19.0,5.0,12.0,2000000.0,1.0,76,18.2,6,2010
0,1,5.0,26.0,13.8,18.3,7110000.0,1.0,56,46.57,2,2026
2,0,1.0,4.0,4.0,11.0,2350000.0,1.0,77,15.0,0,1964
0,1,3.0,11.0,5.0,12.5,4400000.0,1.0,78,26.3,2,2025
2,3,6.0,16.0,3.0,13.3,4499000.0,1.0,27,26.6,2,2015
0,0,23.0,24.0,7.1,67.9,20200000.0,1.0,18,112.3,0,2028
2,0,6.0,10.0,4.960000000000001,19.840000000000003,3600000.0,1.0,79,24.8,0,2022
2,5,13.0,18.0,3.0,15.0,4100000.0,1.0,80,27.7,6,2016
0,3,8.0,18.0,5.0,14.0,6355950.0,1.0,57,30.2,1,2026
0,1,16.0,24.0,5.0,14.3,4750000.0,1.0,55,29.0,2,2028
2,2,10.0,17.0,4.0,19.3,3550000.0,1.0,81,23.3,0,2010
2,0,11.0,18.0,5.0,17.0,4600000.0,1.0,29,27.0,8,2014
0,4,3.0,14.0,4.4,33.1,6300000.0,1.0,42,46.5,9,2027
2,0,18.0,25.0,4.0,16.0,5390000.0,1.0,59,34.0,0,2025
0,3,1.0,18.0,5.0,14.0,6150900.0,1.0,57,30.6,1,2026
2,3,9.0,25.0,5.0,16.3,3350000.0,1.0,82,27.0,1,2025
0,1,2.0,24.0,5.6,13.0,4250000.0,1.0,55,27.6,2,2028
2,1,1.0,3.0,7.8,25.0,3480000.0,1.0,2,37.8,2,2017
2,5,2.0,17.0,4.920000000000001,19.680000000000003,3500000.0,1.0,83,24.6,6,2013
0,8,16.0,25.0,6.0600000000000005,24.240000000000002,7800000.0,1.0,61,30.3,10,2024
2,1,6.0,16.0,3.5,10.0,3400000.0,1.0,51,20.2,1,2024
3,2,5.0,17.0,5.0,13.6,4050000.0,1.0,68,29.3,0,2025
0,1,9.0,24.0,4.9,13.3,4450000.0,1.0,55,27.2,2,2028
2,6,6.0,24.0,3.0,13.4,4800000.0,1.0,84,21.36,6,2020
0,6,4.0,6.0,5.0,6.9,5360000.0,1.0,84,20.67,5,2028
2,6,6.0,10.0,4.4,34.6,3100000.0,1.0,37,39.0,9,2024
2,6,13.0,25.0,5.506,22.024,4707630.0,1.0,49,27.53,9,2026
0,4,4.0,17.0,17.72,12.9,5817800.0,1.0,85,30.62,4,2026
0,3,11.0,18.0,5.0,13.3,6296350.0,1.0,57,29.1,1,2026
2,8,13.0,25.0,4.0,20.8,5096000.0,1.0,61,24.8,10,2016
2,9,1.0,3.0,3.0,19.0,2650000.0,1.0,86,28.7,2,1994
0,7,23.0,25.0,5.04,20.16,6800000.0,1.0,87,25.2,3,2022
0,1,5.0,26.0,13.8,18.3,8510000.0,1.0,56,46.57,2,2026
2,3,2.0,4.0,4.999999999999999,6.7,2400000.0,1.0,88,11.7,1,2015
0,1,1.0,10.0,4.0,12.7,4990000.0,1.0,78,29.0,2,2025
2,6,9.0,10.0,10.0,22.4,3550000.0,1.0,46,32.4,9,2012
2,6,21.0,23.0,5.682,22.728,4602420.0,1.0,89,28.41,9,2025
2,6,3.0,10.0,6.800000000000001,27.200000000000003,3000000.0,1.0,37,34.0,9,2024
0,3,1.0,18.0,5.0,13.7,6796300.0,1.0,57,34.1,1,2026
3,0,8.0,8.0,4.44,17.76,5300000.0,1.0,18,22.2,0,2023
0,7,21.0,25.0,5.84,23.36,7600000.0,1.0,87,29.2,3,2022
0,6,10.0,23.0,5.0,17.9,6820000.0,1.0,84,32.88,5,2028
2,7,2.0,3.0,5.8,28.3,4300000.0,1.0,90,34.1,11,1933
0,1,6.0,11.0,4.3,14.5,4500000.0,1.0,78,25.3,2,2025
0,6,9.0,23.0,5.0,20.8,7090000.0,1.0,84,35.74,5,2028
2,6,9.0,10.0,6.800000000000001,27.200000000000003,2600000.0,1.0,37,34.0,9,2020
0,8,18.0,25.0,5.82,23.28,8200000.0,1.0,61,29.1,10,2024
2,1,1.0,10.0,4.0,18.0,3000000.0,1.0,31,28.8,1,2017
0,7,29.0,30.0,6.5,18.7,9960000.0,1.0,26,45.1,10,2026
